phase,stimulusValue,stimulusValueType,correctResponse,distractorItem,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2,keyCode3,keyLabel3,keyLabelType3,response3,keyCode4,keyLabel4,keyLabelType4,response4,keyCode5,keyLabel5,keyLabelType5,response5,keyCode6,keyLabel6,keyLabelType6,response6,keyCode7,keyLabel7,keyLabelType7,response7,keyCode8,keyLabel8,keyLabelType8,response8,keyCode9,keyLabel9,keyLabelType9,response9
1,9.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,U.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,T.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Z.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,W.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5_T.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,recognition.png,image,5,3,Digit1,1.png,image,1,Digit2,2.png,image,2,Digit3,3.png,image,3,Digit4,4.png,image,4,Digit5,5.png,image,5,Digit6,6.png,image,6,Digit7,7.png,image,7,Digit8,8.png,image,8,Digit9,9.png,image,9
0,fixation.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,W.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Y.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,K.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Q.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4_T.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,recognition.png,image,4,9,Digit1,1.png,image,1,Digit2,2.png,image,2,Digit3,3.png,image,3,Digit4,4.png,image,4,Digit5,5.png,image,5,Digit6,6.png,image,6,Digit7,7.png,image,7,Digit8,8.png,image,8,Digit9,9.png,image,9
0,fixation.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,J.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,S.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5_T.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,recognition.png,image,5,6,Digit1,1.png,image,1,Digit2,2.png,image,2,Digit3,3.png,image,3,Digit4,4.png,image,4,Digit5,5.png,image,5,Digit6,6.png,image,6,Digit7,7.png,image,7,Digit8,8.png,image,8,Digit9,9.png,image,9
0,fixation.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3_T.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Z.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,recognition.png,image,3,8,Digit1,1.png,image,1,Digit2,2.png,image,2,Digit3,3.png,image,3,Digit4,4.png,image,4,Digit5,5.png,image,5,Digit6,6.png,image,6,Digit7,7.png,image,7,Digit8,8.png,image,8,Digit9,9.png,image,9
0,fixation.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,G.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8_T.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,R.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,recognition.png,image,8,3,Digit1,1.png,image,1,Digit2,2.png,image,2,Digit3,3.png,image,3,Digit4,4.png,image,4,Digit5,5.png,image,5,Digit6,6.png,image,6,Digit7,7.png,image,7,Digit8,8.png,image,8,Digit9,9.png,image,9
0,fixation.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,F.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,X.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,U.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3_T.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M.png,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,recognition.png,image,3,8,Digit1,1.png,image,1,Digit2,2.png,image,2,Digit3,3.png,image,3,Digit4,4.png,image,4,Digit5,5.png,image,5,Digit6,6.png,image,6,Digit7,7.png,image,7,Digit8,8.png,image,8,Digit9,9.png,image,9
3,,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
